PWSID,System Name,County,Regulating Agency,Water Quality Risk Level_Display,Accessability Risk Level_Display,Affordability Risk Level_Display,TMF Capacity Risk Level_Display,POPULATION ,SAFER STATUS,Distinct count of PWSID,Funding Since 2017
CA3600070,CENTER WATER CO,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,662,Not At-Risk,1,$0 
CA3600071,CHAMISAL MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,High Risk,High Risk,High Risk,63,Failing,1,$0 
CA3600086,DAGGETT COMM SVCS DIST,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,High Risk,Not Assessed,No Risk,795,Failing,1,$0 
CA3600087,DEER LODGE WATER SYSTEM,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,Low Risk,745,Not At-Risk,1,$0 
CA3600088,DESERT DAWN MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,150,Not At-Risk,1,$0 
CA3600089,DESERT SPRINGS MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,325,Not At-Risk,1,$0 
CA3600094,DOGWOOD BLUE JAY CYN IMP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Medium Risk,No Risk,Low Risk,160,Not At-Risk,1,$0 
CA3600107,FOREST PARK MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Medium Risk,No Risk,Low Risk,415,Not At-Risk,1,$0 
CA3600108,GLEN HELEN WATER SYSTEM,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Medium Risk,No Risk,Low Risk,"1,647",Not At-Risk,1,$0 
CA3600114,CSA 70 W-3 HACIENDA,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Low Risk,No Risk,695,Failing,1,$0 
CA3600123,HI DESERT MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Low Risk,Not Assessed,Low Risk,112,Potentially At-Risk,1,$0 
CA3600139,JUBILEE MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,710,Not At-Risk,1,"$7,900,000 "
CA3600152,LOMA LINDA UNIVERSITY,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,Low Risk,"8,500",Not At-Risk,1,$0 
CA3600155,RIVER RANCH MHP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Low Risk,No Risk,Low Risk,176,Failing,1,$0 
CA3600156,LUCERNE VALLEY MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,275,Not At-Risk,1,$0 
CA3600157,LUCERNE VISTA MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Medium Risk,High Risk,No Risk,160,Not At-Risk,1,$0 
CA3600158,LYTLE SPRINGS WC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,Low Risk,475,Not At-Risk,1,$0 
CA3600166,MILL CREEK MSC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Low Risk,No Risk,Low Risk,315,Not At-Risk,1,$0 
CA3600172,MP MINE OPERATIONS LLC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,172,Not At-Risk,1,$0 
CA3600180,NAVAJO MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,276,Not At-Risk,1,$0 
CA3600184,NORTH SHORE MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Medium Risk,No Risk,Low Risk,25,At-Risk,1,$0 
CA3600185,OAK GLEN DOMESTIC WATER,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,175,Not At-Risk,1,$0 
CA3600187,OLIVE DELL RANCH,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,350,Not At-Risk,1,$0 
CA3600196,CSA 70 W-4 PIONEERTOWN,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,No Risk,Low Risk,Low Risk,400,Not At-Risk,1,"$5,400,000 "
CA3600200,RANCHERITOS MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,655,Not At-Risk,1,$0 
CA3600209,ROCKY COMFORT MUTUAL WATER CO,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Medium Risk,No Risk,Low Risk,160,Not At-Risk,1,$0 
CA3600215,GILBERT STREET COMPLEX,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,Low Risk,"1,000",Not At-Risk,1,$0 
CA3600220,CSA 42 ORO GRANDE,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,Medium Risk,Low Risk,544,Potentially At-Risk,1,$0 
CA3600222,JUNIPER RIVIERA CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,Low Risk,No Risk,Medium Risk,441,Failing,1,$0 
CA3600226,CSA 70-F MORONGO,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Medium Risk,Medium Risk,Low Risk,450,Failing,1,$0 
CA3600258,SKY FOREST MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,No Risk,605,Not At-Risk,1,$0 
CA3600260,SMILEY PARK COUNTRY CLUB,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,No Risk,No Risk,No Risk,530,Not At-Risk,1,$0 
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,600,Not At-Risk,1,$0 
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,No Risk,No Risk,870,Not At-Risk,1,$0 
CA3600279,GOLDEN STATE WATER DESERT VIEW,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,No Risk,125,Not At-Risk,1,$0 
CA3600283,DEPARTMENT OF WATER AND POWER,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,No Risk,388,Not At-Risk,1,$0 
CA3600297,GORDON ACRES WATER CO,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,No Risk,Low Risk,200,Failing,1,"$7,900,000 "
CA3600301,STRAWBERRY LODGE MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,No Risk,640,Not At-Risk,1,$0 
CA3600306,THUNDERBIRD CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,Low Risk,Low Risk,No Risk,997,Potentially At-Risk,1,"$2,600 "
CA3600308,FREEDOM ACRES THE RESORT,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,500,Not At-Risk,1,$0 
CA3600345,WEST END MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,High Risk,No Risk,63,Potentially At-Risk,1,$0 
CA3600372,PALMS RIVER RESORT,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,Low Risk,127,Not At-Risk,1,$0 
CA3600382,MWD OF SO CAL IRON MOUNTAIN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,Low Risk,27,Not At-Risk,1,$0 
CA3600383,MWD OF SO CAL GENE PLANT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,Low Risk,109,Not At-Risk,1,$0 
CA3600385,BROOKSIDE MHP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,Not Assessed,Low Risk,65,Failing,1,$0 
CA3600386,FOOTHILL ESTATES MHP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,High Risk,High Risk,Medium Risk,135,At-Risk,1,$0 
CA3600388,DESERT VIEW MOBILE PARK,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,Low Risk,No Risk,High Risk,130,Failing,1,$0 
CA3600391,HILLCREST MOBILE ESTATES,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,High Risk,No Risk,Low Risk,900,Failing,1,$0 
CA3600397,MOSS MOBILE MANOR,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,High Risk,290,At-Risk,1,$0 
CA3600399,PARADISE MOBILE ESTATES,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,High Risk,Medium Risk,Low Risk,190,Potentially At-Risk,1,$0 
CA3600400,APPLE VALLEY VILLAGE MHE,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,Low Risk,180,Not At-Risk,1,$0 
CA3600432,LUCERNE VALLEY ELEMENTARY SCHOOL,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,Low Risk,441,Not At-Risk,1,$0 
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,No Risk,25,Not At-Risk,1,$0 
CA3600504,KNOLL ENTERPRISES,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,No Risk,Medium Risk,500,Failing,1,$0 
CA3600785,LAKE JODIE WATER SYSTEM,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Medium Risk,250,Not At-Risk,1,$0 
CA3600790,NEWBERRY ELEMENTARY SCHOOL,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,High Risk,No Risk,No Risk,255,At-Risk,1,$0 
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Low Risk,No Risk,Low Risk,213,Not At-Risk,1,$0 
CA3601015,IRONWOOD CAMP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,No Risk,Medium Risk,"1,000",Failing,1,$0 
CA3601036,CALICO LAKE HOMEOWNERS,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Low Risk,No Risk,Medium Risk,150,Potentially At-Risk,1,$0 
CA3601045,BEAR VALLEY MHP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Medium Risk,150,Not At-Risk,1,$0 
CA3601048,BARTON FLATS WATER SYSTEM,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,High Risk,Not Assessed,Medium Risk,"1,070",At-Risk,1,$0 
CA3601057,MOUNTAIN VIEW CONTINUATION SCHOOL,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,No Risk,30,Not At-Risk,1,$0 
CA3601085,RANCHO PINO VERDE,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,Low Risk,66,Not At-Risk,1,$0 
CA3601095,LUCERNE VALLEY HIGH SCHOOL,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,No Risk,329,Not At-Risk,1,$0 
CA3601179,EL MIRAGE SCHOOL,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,50,Not At-Risk,1,$0 
CA3601182,HIGH DESERT DETENTION CENTER,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,No Risk,No Risk,Low Risk,300,Potentially At-Risk,1,$0 
CA3610001,"ADELANTO, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,High Risk,Low Risk,"31,765",Potentially At-Risk,1,$0 
CA3610002,ALPINE WATER USERS ASSOCIATION,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,No Risk,No Risk,High Risk,"2,534",Failing,1,$0 
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,Low Risk,"62,602",Not At-Risk,1,$0 
CA3610004,WEST VALLEY WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"94,332",Not At-Risk,1,$0 
CA3610005,LAKE ARROWHEAD CSD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,No Risk,No Risk,No Risk,"7,008",Not At-Risk,1,$0 
CA3610006,WATER FACILITIES AUTHORITY-JPA,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3610008,BIG BEAR CITY CSD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,No Risk,"12,537",Not At-Risk,1,"$2,500,000 "
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Low Risk,Low Risk,"3,689",Not At-Risk,1,$0 
CA3610011,CEDARPINES PARK MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,Low Risk,"2,511",Not At-Risk,1,$0 
CA3610012,"CHINO, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,No Risk,High Risk,High Risk,"78,463",At-Risk,1,"$16,038,987 "
CA3610013,"LOMA LINDA, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"24,482",Not At-Risk,1,$0 
CA3610014,"COLTON, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,Low Risk,"55,430",Not At-Risk,1,$0 
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"8,360",Not At-Risk,1,$0 
CA3610016,GLEN MARTIN MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,450,Not At-Risk,1,$0 
CA3610017,HAVASU WC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,High Risk,High Risk,Low Risk,361,Failing,1,$0 
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"198,979",Not Assessed,1,$0 
CA3610019,SAN BERNARDINO VALLEY WD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3610021,FALLSVALE SERVICE COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,995,Not At-Risk,1,$0 
CA3610022,DWP - FAWNSKIN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,Low Risk,469,Not At-Risk,1,$0 
CA3610023,GREEN VALLEY MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,No Risk,"1,350",Not At-Risk,1,$0 
CA3610024,HESPERIA WD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"97,846",Not At-Risk,1,$0 
CA3610025,JOSHUA BASIN WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,Low Risk,High Risk,No Risk,"9,665",At-Risk,1,$0 
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,High Risk,Low Risk,"1,236",Not At-Risk,1,$0 
CA3610028,MARYGOLD MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"3,055",Not At-Risk,1,$0 
CA3610029,MONTE VISTA CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,No Risk,"57,973",Not At-Risk,1,$0 
CA3610030,MARIANA RANCHOS CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,Low Risk,No Risk,"1,459",Not At-Risk,1,$0 
CA3610031,MUSCOY MWC NO. 1,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,High Risk,No Risk,"13,000",Not At-Risk,1,$0 
CA3610032,"NEEDLES, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,High Risk,Low Risk,"5,183",Failing,1,"$1,187,584 "
CA3610033,MT BALDY HOMEOWNERS ASSN.,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,Medium Risk,"1,700",Not At-Risk,1,$0 
CA3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"185,010",Not Assessed,1,$0 
CA3610036,"CHINO HILLS, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,No Risk,"82,490",Not At-Risk,1,$0 
CA3610037,REDLANDS CITY MUD-WATER DIV,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"78,025",Not At-Risk,1,$0 
CA3610038,"RIALTO, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,High Risk,Medium Risk,"54,453",At-Risk,1,$0 
CA3610039,SAN BERNARDINO CITY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"204,870",Not Assessed,1,"$8,572,967 "
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"237,000",Not Assessed,1,$0 
CA3610043,GOLDEN STATE WATER CO - BARSTOW,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,No Risk,No Risk,"31,641",Not At-Risk,1,$0 
CA3610044,BIG BEAR LAKE DWP - BIG BEAR SYSTEM,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,High Risk,"14,368",Not At-Risk,1,$0 
CA3610045,LACSD - RIMFOREST,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Medium Risk,High Risk,Low Risk,820,Potentially At-Risk,1,$0 
CA3610046,VALLEY VIEW PARK MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,No Risk,Medium Risk,499,Not At-Risk,1,$0 
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,No Risk,"4,440",Not At-Risk,1,$0 
CA3610048,TERRACE WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Medium Risk,High Risk,No Risk,"2,000",Not At-Risk,1,$0 
CA3610049,TWENTYNINE PALMS WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,Low Risk,Medium Risk,"18,795",Potentially At-Risk,1,$0 
CA3610050,"UPLAND, CITY OF",SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,High Risk,"78,564",Not At-Risk,1,"$16,500,000 "
CA3610051,VALLEY OF ENCHANTMENT MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,High Risk,Low Risk,"1,992",Not At-Risk,1,$0 
CA3610052,VICTORVILLE WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"124,653",Not Assessed,1,$0 
CA3610053,WESTERN HEIGHTS WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,No Risk,No Risk,"7,521",Not At-Risk,1,$0 
CA3610055,YUCAIPA VALLEY WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"51,558",Not At-Risk,1,$0 
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"18,691",Not At-Risk,1,$0 
CA3610060,BDVWA - GOAT MOUNTAIN ID,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Low Risk,Low Risk,"1,300",Not At-Risk,1,$0 
CA3610062,RUNNING SPRINGS WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,Low Risk,Low Risk,"4,862",Not At-Risk,1,$0 
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,Low Risk,No Risk,No Risk,"1,748",Potentially At-Risk,1,$0 
CA3610064,EAST VALLEY WATER DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"103,000",Failing,1,$0 
CA3610073,HI DESERT WD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,High Risk,No Risk,"25,653",Not At-Risk,1,"$5,400,000 "
CA3610075,CHINO BASIN DESALTER AUTH. - DESALTER 1,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3610082,SAN ANTONIO CANYON MSC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Low Risk,No Risk,125,Not At-Risk,1,$0 
CA3610085,SAN ANTONIO WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,No Risk,No Risk,"3,371",Not At-Risk,1,$0 
CA3610086,WEST END CONSOLIDATED WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,Low Risk,"2,654",Not At-Risk,1,$0 
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,No Risk,"2,106",Not At-Risk,1,$0 
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,No Risk,No Risk,No Risk,"6,340",Not At-Risk,1,$0 
CA3610108,GOLDEN STATE WATER CO - LUCERNE,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,No Risk,751,Not At-Risk,1,$0 
CA3610109,SHEEP CREEK WATER COMPANY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Medium Risk,High Risk,No Risk,"3,623",Not At-Risk,1,$0 
CA3610110,ARROWBEAR PARK CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,Low Risk,Low Risk,Low Risk,"1,856",Potentially At-Risk,1,$0 
CA3610112,HELENDALE COMMUNITY SERVICE DISTRICT,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Low Risk,No Risk,"5,849",Not At-Risk,1,$0 
CA3610114,CLAWA,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"2,320",Not Assessed,1,$0 
CA3610117,DEVORE WC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,No Risk,Low Risk,No Risk,"1,633",Failing,1,"$493,200 "
CA3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,Low Risk,"1,033",Not At-Risk,1,$0 
CA3610120,PHELAN PINON HILLS CSD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,No Risk,Low Risk,Low Risk,"23,585",Not At-Risk,1,$0 
CA3610121,SBDNO COUNTY SERVICE AREA 64,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Low Risk,No Risk,"14,678",Not At-Risk,1,$0 
CA3610125,SBDNO COUNTY SERVICE AREA 70J,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,High Risk,Low Risk,No Risk,"12,513",At-Risk,1,$0 
CA3610129,MOJAVE WATER AGENCY,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3610701,USMC NEBO (BARSTOW),SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Medium Risk,No Risk,No Risk,"1,150",Not At-Risk,1,$0 
CA3610703,USMC - 29 PALMS,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,No Risk,No Risk,No Risk,"18,811",Not At-Risk,1,$0 
CA3610705,US ARMY FORT IRWIN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,Low Risk,No Risk,No Risk,"16,000",Not At-Risk,1,$0 
CA3610800,CDF - OAK GLEN CONSERVATION CAMP,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,Low Risk,84,Not At-Risk,1,$0 
CA3610801,CDF - PILOT ROCK CONSERVATION CAMP,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,Low Risk,No Risk,Medium Risk,65,At-Risk,1,$0 
CA3610850,CALIFORNIA INSTITUTION FOR MEN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,High Risk,Low Risk,No Risk,Low Risk,"10,667",At-Risk,1,$0 
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,No Risk,Medium Risk,No Risk,Medium Risk,"1,750",Not At-Risk,1,$0 
