PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA4900612,HEIGHTS MUTUAL WATER COMPANY,Region 9,California,Community water system,363,,Sonoma,16,7,4
CA4010081,WOODLANDS DEVELOPMENT,Region 9,California,Community water system,"2,918",,San Luis Obispo,6,1,4
CA3010064,CITY OF WESTMINSTER,Region 9,California,Community water system,"95,256",WESTMINSTER,Orange,48,4,26
CA4800561,SNUG HARBOR RESORT,Region 9,California,Community water system,125,,Solano,6,44,5
CA1910160,TRACT 349 MUTUAL WATER CO.,Region 9,California,Community water system,"7,500",,Los Angeles,9,3,16
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,Region 9,California,Community water system,"1,818",,San Bernardino,10,22,3
CA1400027,CARTAGO MUTUAL WATER COMPANY,Region 9,California,Community water system,132,,Inyo,3,7,9
CA1400030,GLENWOOD MOBILE ESTATES,Region 9,California,Community water system,448,,Inyo,4,4,8
CA5310003,TRINITY CENTER M.W.C.          .,Region 9,California,Community water system,729,,Trinity,5,4,16
CA4900794,SUNSET PARK COMMUNITY,Region 9,California,Community water system,141,,Sonoma,4,3,4
CA1500209,ALTA SIERRA MUTUAL WATER CO.,Region 9,California,Community water system,143,,Kern,7,3,7
CA5410014,TIPTON COMMUNITY SERVICES DIST,Region 9,California,Community water system,"1,998",,Tulare,11,7,8
CA2000527,YOSEMITE FORKS EST MUTUAL,Region 9,California,Community water system,110,,Madera,28,37,10
CA1100452,SHADY OAKS TRAILER PARK,Region 9,California,Community water system,57,,Glenn,2,3,12
CA4900508,"CAZADERO WATER COMPANY, INC. (PUC)",Region 9,California,Community water system,250,,Sonoma,10,25,5
CA5610006,YERBA BUENA WATER COMPANY,Region 9,California,Community water system,690,,Ventura,13,6,15
CA1910102,PALMDALE WATER DIST.,Region 9,California,Community water system,"115,525",,Los Angeles,61,4,41
CA3600283,DEPARTMENT OF WATER AND POWER,Region 9,California,Community water system,388,,San Bernardino,5,2,43
CA3610022,DWP - FAWNSKIN,Region 9,California,Community water system,469,,San Bernardino,20,3,5
CA3610044,BIG BEAR LAKE DWP - BIG BEAR SYSTEM,Region 9,California,Community water system,"14,368",,San Bernardino,100,0,8
CA1510005,"DELANO, CITY OF",Region 9,California,Community water system,"53,936",DELANO,Kern,59,46,14
CA4900720,MOBILE HOME ESTATES,Region 9,California,Community water system,210,,Sonoma,2,42,4
CA5601106,FILLMORE WEST MOBILE HOME PARK,Region 9,California,Community water system,99,,Ventura,4,14,11
CA5602132,WATERS ROAD DOMESTIC USERS GROUP,Region 9,California,Community water system,25,,Ventura,3,2,4
CA2210921,WHISPERING PINES APARTMENTS,Region 9,California,Community water system,74,,Mariposa,14,21,10
CA3610006,WATER FACILITIES AUTHORITY-JPA,Region 9,California,Community water system,0,,San Bernardino,6,0,10
CA3510007,SAN BENITO COUNTY WATER DISTRICT,Region 9,California,Community water system,25,,San Benito,7,0,7
CA4900913,ROBIN WAY WATER SYSTEM,Region 9,California,Community water system,66,,Sonoma,3,17,4
CA3610051,VALLEY OF ENCHANTMENT MWC,Region 9,California,Community water system,"1,992",,San Bernardino,41,3,5
CA4210024,LA CUMBRE MUTUAL WATER CO,Region 9,California,Community water system,"4,861",,Santa Barbara,21,2,17
CA2300604,POINT OF VIEW MUTUAL WATER CO,Region 9,California,Community water system,56,,Mendocino,7,5,5
CA0707553,RIVERVIEW MOBILE HOMES,Region 9,California,Community water system,216,,Contra Costa,2,6,35
CA1910158,STERLING MUTUAL WATER COMPANY,Region 9,California,Community water system,548,,Los Angeles,11,5,7
CA3610016,GLEN MARTIN MWC,Region 9,California,Community water system,450,,San Bernardino,6,2,6
CA5601141,SOUTH MOUNTAIN MUTUAL WATER CO,Region 9,California,Community water system,58,,Ventura,5,21,12
CA1710013,CALLAYOMI COUNTY WATER DISTRICT,Region 9,California,Community water system,"1,481",,Lake,8,3,7
CA3310081,PALM SPRINGS CREST,Region 9,California,Community water system,532,,Riverside,5,1,11
CA3310008,MISSION SPRINGS WD,Region 9,California,Community water system,"38,694",,Riverside,35,9,20
CA3310078,WEST PALM SPRINGS VILLAGE,Region 9,California,Community water system,532,,Riverside,5,3,11
CA3110034,CHRISTIAN VALLEY PARK CSD,Region 9,California,Community water system,"1,800",,Placer,3,3,30
CA3301943,PLANTATION ON THE LAKE PARK,Region 9,California,Community water system,891,,Riverside,4,6,8
CA3200188,GREENHORN CREEK CSD,Region 9,California,Community water system,280,,Plumas,7,3,11
CA1900158,LITTLE BALDY WATER,Region 9,California,Community water system,55,,Los Angeles,7,3,17
CA3110044,TAHOE CITY PUD - ALPINE PEAKS,Region 9,California,Community water system,201,TAHOE CITY,Placer,2,2,5
CA0710003,CONTRA COSTA WATER DISTRICT,Region 9,California,Community water system,"198,000",,Contra Costa,23,2,24
CA0710010,RANDALL-BOLD WATER TREATMENT PLANT,Region 9,California,Community water system,1,,Contra Costa,10,0,11
CA0710011,CCWD/BRENTWOOD WTP,Region 9,California,Community water system,1,,Contra Costa,8,0,3
CA3110011,TAHOE CITY PUD - MCKINNEY/QUAIL,Region 9,California,Community water system,844,TAHOE CITY,Placer,11,1,15
CA0910012,TAHOE CITY PUD - RUBICON,Region 9,California,Community water system,703,TAHOE CITY,El Dorado,8,3,13
CA3110010,TAHOE CITY PUD - MAIN,Region 9,California,Community water system,"5,661",TAHOE CITY,Placer,23,4,25
CA1500231,VICTORY MUTUAL WATER COMPANY,Region 9,California,Community water system,849,,Kern,5,13,7
CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,870,,San Diego,10,18,13
CA2300668,POINT CABRILLO HIGHLANDS,Region 9,California,Community water system,42,,Mendocino,3,7,5
CA4300546,SIERRA ROAD IMPROVEMENT ASSOCIATION INC,Region 9,California,Community water system,280,,Santa Clara,2,10,5
CA1502545,SCHWEIKART WATER SYSTEM,Region 9,California,Community water system,27,,Kern,2,9,6
CA1910169,WALNUT PARK MUTUAL WATER CO.,Region 9,California,Community water system,"16,180",,Los Angeles,10,3,13
CA1510013,"MCFARLAND, CITY OF",Region 9,California,Community water system,"15,506",MCFARLAND,Kern,22,87,12
CA2410011,LE GRAND COMM SERVICES DIST,Region 9,California,Community water system,"1,700",,Merced,12,9,8
CA1910061,LAS FLORES WATER CO.,Region 9,California,Community water system,"4,844",,Los Angeles,11,6,21
CA1000324,MANNING GARDENS CARE CENTER INC,Region 9,California,Community water system,176,,Fresno,4,10,8
CA2700773,SUNNY MESA WATER SYSTEM,Region 9,California,Community water system,880,,Monterey,4,11,9
CA2700511,NORMCO WC,Region 9,California,Community water system,928,,Monterey,6,14,10
CA2710020,PAJARO COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"6,500",,Monterey,4,3,9
CA5610022,VENTURA RIVER WATER DISTRICT,Region 9,California,Community water system,"5,700",,Ventura,19,3,18
CA0707623,WILCOX STATION RANCH,Region 9,California,Community water system,90,,Contra Costa,3,11,12
CA4900644,BRIDGEHAVEN PARK,Region 9,California,Community water system,70,,Sonoma,4,20,8
CA4300741,MIREVAL IMPROVEMENT ASSOCIATION,Region 9,California,Community water system,60,,Santa Clara,2,15,5
CA1910053,HEMLOCK MUTUAL WATER CO.,Region 9,California,Community water system,686,,Los Angeles,8,33,16
CA1000238,CAMDEN TRAILER PARK,Region 9,California,Community water system,75,,Fresno,5,41,12
CA1500211,STOCKDALE ANNEX MUTUAL WATER,Region 9,California,Community water system,433,,Kern,5,14,8
CA1510019,"SHAFTER, CITY OF",Region 9,California,Community water system,"20,500",SHAFTER,Kern,27,20,18
CA4900551,MELITA HEIGHTS MUTUAL WATER COMPANY,Region 9,California,Community water system,64,,Sonoma,4,17,4
CA1500550,WEST VALLEY MUTUAL WATER COMPANY,Region 9,California,Community water system,70,,Kern,4,9,6
CA2100508,MUIR BEACH COMMUNITY,Region 9,California,Community water system,336,,Marin,6,6,6
CA3110018,TAHOE PARK WATER COMPANY,Region 9,California,Community water system,750,,Placer,7,10,6
CA3110049,TAHOE PARK WATER CO - SKYLAND/NIELSEN,Region 9,California,Community water system,50,,Placer,5,8,6
CA3500552,VENTURE ESTATES MWC,Region 9,California,Community water system,60,,San Benito,3,39,11
CA3301534,RANCHO CALIMESA MOBILE HOME PARK,Region 9,California,Community water system,302,,Riverside,3,26,7
CA3600010,LIBERTY UTILITIES APPLE VALLEY,Region 9,California,Community water system,170,,San Bernardino,3,3,30
CA1900903,SLEEPY VALLEY WATER COMPANY,Region 9,California,Community water system,130,,Los Angeles,14,9,13
CA1910127,"COVINA-CITY, WATER DEPT.",Region 9,California,Community water system,"33,300",COVINA,Los Angeles,5,3,11
CA0707573,DELTA MUTUAL WATER COMPANY,Region 9,California,Community water system,225,,Contra Costa,9,11,17
CA1910173,"WHITTIER-CITY, WATER DEPT.",Region 9,California,Community water system,"49,954",WHITTIER,Los Angeles,41,0,32
CA0710007,DIABLO WATER DISTRICT,Region 9,California,Community water system,"40,144",,Contra Costa,10,0,14
CA0707507,WILLOW PARK MARINA,Region 9,California,Community water system,380,,Contra Costa,4,2,17
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,Region 9,California,Community water system,250,,Contra Costa,4,0,18
CA5410026,POPLAR COMM SERVICE DIST,Region 9,California,Community water system,"2,200",,Tulare,9,13,7
CA4910701,U.S. COAST GUARD TRAINING CENTER,Region 9,California,Community water system,"1,422",,Sonoma,6,3,5
CA2300892,COVELO MOBILE HOME PARK,Region 9,California,Community water system,30,,Mendocino,4,10,5
CA5400718,WILLIAMS MUTUAL  WATER CO,Region 9,California,Community water system,180,,Tulare,3,20,6
CA5400735,RODRIGUEZ LABOR CAMP,Region 9,California,Community water system,110,,Tulare,2,73,11
CA0707517,COLONIA SANTA MARIA,Region 9,California,Community water system,32,,Contra Costa,2,10,28
CA1910249,WHITE FENCE FARMS MWC NO. 1,Region 9,California,Community water system,"1,362",,Los Angeles,12,30,34
CA4200837,RANCHO YNECITA,Region 9,California,Community water system,129,,Santa Barbara,9,3,8
CA4300603,OAK DELL PARK,Region 9,California,Community water system,100,,Santa Clara,5,38,7
CA3210009,CHESTER PUBLIC U.D.,Region 9,California,Community water system,"2,316",,Plumas,7,5,25
CA1503509,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,Region 9,California,Community water system,35,,Kern,6,6,5
CA1900849,LLANO DEL RIO WATER COMPANY,Region 9,California,Community water system,510,,Los Angeles,12,0,14
CA1900303,LLANO MUTUAL WATER COMPANY,Region 9,California,Community water system,264,,Los Angeles,2,6,9
CA1500556,HART FLAT BEAR MUTUAL WATER,Region 9,California,Community water system,56,,Kern,3,6,7
CA1502320,LERDO SHERIFF S FACILITY,Region 9,California,Community water system,"2,800",,Kern,11,18,8
CA0800605,WEST PARK PROPERTIES,Region 9,California,Community water system,112,,Del Norte,3,12,21
CA4500107,ZUFALL'S MOBILEHOME PARK,Region 9,California,Community water system,96,,Shasta,4,6,9
CA1900599,VALHALLA WATER ASSOCIATION,Region 9,California,Community water system,25,,Los Angeles,5,18,15
CA2210001,MARIPOSA PUBLIC UTILITY DIST,Region 9,California,Community water system,"2,000",,Mariposa,26,47,12
CA4300771,NEW AVENUE MUTUAL WATER COMPANY,Region 9,California,Community water system,302,,Santa Clara,7,4,7
CA2210503,YOSEMITE NPS-YOSEMITE VALLEY,Region 9,California,Community water system,"1,000",,Mariposa,7,4,8
CA4400528,LAUREL COMMUNITY LEAGUE,Region 9,California,Community water system,64,,Santa Cruz,7,23,15
CA1900038,LANCASTER PARK MOBILE HOME PARK,Region 9,California,Community water system,61,,Los Angeles,11,27,8
CA1910130,QUARTZ HILL WATER DIST.,Region 9,California,Community water system,"20,352",,Los Angeles,23,2,29
CA3210005,GRAEAGLE WATER COMPANY,Region 9,California,Community water system,737,,Plumas,3,2,15
CA0800861,RESERVATION RANCH,Region 9,California,Community water system,50,,Del Norte,3,3,9
CA3410009,FAIR OAKS WATER DISTRICT,Region 9,California,Community water system,"35,114",,Sacramento,27,0,19
CA1310700,NAF EL CENTRO,Region 9,California,Community water system,972,,Imperial,4,6,16
CA4900588,LAWNDALE MUTUAL WATER COMPANY,Region 9,California,Community water system,218,,Sonoma,3,12,3
CA5610008,PLEASANT VALLEY MUTUAL WATER CO,Region 9,California,Community water system,"5,000",,Ventura,13,3,19
CA4300770,THREE SPRINGS RANCH MUTUAL WATER COMPANY,Region 9,California,Community water system,110,,Santa Clara,11,21,6
CA2810005,"AMERICAN CANYON, CITY OF",Region 9,California,Community water system,"20,990",AMERICAN CANYON,Napa,7,16,13
CA2701278,RANCHO CHAPARRAL MWC,Region 9,California,Community water system,58,,Monterey,4,21,21
CA2700838,SPRING CANYON WA,Region 9,California,Community water system,99,,Monterey,5,14,13
CA2700970,ROYAL SIERRA ESTATES WS,Region 9,California,Community water system,36,,Monterey,6,48,8
CA2700638,MAHER RD WS #05,Region 9,California,Community water system,65,,Monterey,2,34,11
CA2700503,ASSISI MWC,Region 9,California,Community water system,126,,Monterey,5,25,11
CA2700713,ROLLING HILLS RANCHO WA,Region 9,California,Community water system,184,,Monterey,13,34,13
CA5500243,RAMBLING HILLS ESTATES,Region 9,California,Community water system,78,,Tuolumne,6,2,12
CA2010009,BAKMAN WATER-ROLLING HILLS,Region 9,California,Community water system,"1,106",,Madera,12,4,8
CA5601116,SAN CAYETANO MUTUAL WATER CO,Region 9,California,Community water system,46,,Ventura,13,7,10
CA1500535,MANON MANOR MUTUAL WATER COMPANY,Region 9,California,Community water system,200,,Kern,3,11,6
CA1910165,VALLEY VIEW MUTUAL WATER CO.,Region 9,California,Community water system,"4,571",,Los Angeles,6,1,16
CA4901062,KINNYBROOK MUTUAL WATER COMPANY,Region 9,California,Community water system,48,,Sonoma,5,2,6
CA4700638,OAK VALLEY ACRES P.O.A.,Region 9,California,Community water system,80,,Siskiyou,5,4,6
CA1000018,EASTON ESTATES WATER COMPANY,Region 9,California,Community water system,302,,Fresno,4,9,6
CA1910128,COVINA IRRIGATING CO.,Region 9,California,Community water system,0,,Los Angeles,30,1,34
CA3810008,THOMAS SHAFT WHOLESALE,Region 9,California,Community water system,1,,San Joaquin,3,0,4
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,Region 9,California,Community water system,600,,San Francisco,45,7,76
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,Region 9,California,Community water system,150,,San Francisco,3,2,15
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,Region 9,California,Community water system,"884,363",,San Francisco,17,0,8
CA3810702,TREASURE ISLAND,Region 9,California,Community water system,"2,400",,San Francisco,2,3,10
CA0110012,TOWN OF SUNOL - SFPUC,Region 9,California,Community water system,352,,Alameda,2,1,5
CA0110018,SFPUC-PLEASANTON WELLS,Region 9,California,Community water system,1,,Alameda,10,0,7
CA4100582,COUNTY SERVICE AREA 11,Region 9,California,Community water system,450,,San Mateo,5,25,54
CA4100509,COUNTY SERVICE AREA 7,Region 9,California,Community water system,300,,San Mateo,3,54,56
CA4400517,LAKEVIEW APARTMENTS,Region 9,California,Community water system,43,,Santa Cruz,3,3,67
CA4400652,"CATHEDRAL HILLS MWC, INC",Region 9,California,Community water system,60,,Santa Cruz,3,18,53
CA4400692,ALLAN LANE WATER ASSOCIATION,Region 9,California,Community water system,68,,Santa Cruz,2,9,77
CA4400850,THE WILLOWS RESORT,Region 9,California,Community water system,54,,Santa Cruz,6,5,52
CA4300542,SAN MARTIN COUNTY WATER DISTRICT,Region 9,California,Community water system,618,,Santa Clara,6,20,8
CA4510015,DEL ORO WATER CO.-JOHNSON PARK,Region 9,California,Community water system,917,,Shasta,5,11,9
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,Region 9,California,Community water system,792,,Butte,8,1,10
CA0410009,DEL ORO WATER CO.-MAGALIA,Region 9,California,Community water system,297,,Butte,7,3,20
CA0410011,DEL ORO WATER CO.-PARADISE PINES,Region 9,California,Community water system,"10,513",,Butte,16,6,31
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,Region 9,California,Community water system,514,,Butte,3,6,15
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,Region 9,California,Community water system,185,,Colusa,3,1,4
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,Region 9,California,Community water system,284,,Glenn,2,6,12
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,Region 9,California,Community water system,99,,Butte,3,9,10
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,Region 9,California,Community water system,297,,Kern,4,15,7
CA1210007,DEL ORO WATER CO-FERNDALE,Region 9,California,Community water system,"1,998",,Humboldt,6,0,13
CA5200574,DEL ORO WC - LARKSPUR MEADOWS,Region 9,California,Community water system,112,,Tehama,4,10,6
CA4500022,DEL ORO WATER CO. - HAT CREEK DISTRICT,Region 9,California,Community water system,205,,Shasta,3,99,8
CA1200671,BENBOW-DEL ORO W.C.,Region 9,California,Community water system,150,,Humboldt,3,33,9
CA3110015,FULTON WATER COMPANY,Region 9,California,Community water system,500,,Placer,14,22,9
CA4000203,IRISH HILLS MUTUAL WATER CO,Region 9,California,Community water system,135,,San Luis Obispo,11,10,7
CA1503329,HART CREEK ESTATES MUTUAL WATER CO.,Region 9,California,Community water system,148,,Kern,8,7,9
CA3110031,WARD WELL WATER COMPANY,Region 9,California,Community water system,375,,Placer,4,3,6
CA4710010,"TULELAKE, CITY OF",Region 9,California,Community water system,"1,000",TULELAKE,Siskiyou,10,3,12
CA1800524,LASSEN MOBILE HOME PARK,Region 9,California,Community water system,62,,Lassen,2,10,6
CA5100125,HARMONY VILLAGE,Region 9,California,Community water system,25,,Sutter,3,14,12
CA4400617,SUMMIT WEST MUTUAL WATER CO.,Region 9,California,Community water system,468,,Santa Cruz,4,33,136
CA2900511,SHADY LAKE WATER ASSOCIATION,Region 9,California,Community water system,90,,Nevada,2,14,10
CA4000749,TERRA DE ORO WATER COMPANY,Region 9,California,Community water system,38,,San Luis Obispo,4,4,11
CA2600733,COLD WATER CANYON MWC,Region 9,California,Community water system,90,,Mono,3,0,1
CA4500173,CASSEL PARK MUTUAL WATER CO,Region 9,California,Community water system,131,,Shasta,7,8,9
CA4900687,BROOKWOOD MOBILE HOME PARK,Region 9,California,Community water system,400,,Sonoma,7,8,6
CA5601120,SISAR MUTUAL WATER CO,Region 9,California,Community water system,340,,Ventura,8,6,9
CA1410009,INYO COUNTY PWD - LONE PINE,Region 9,California,Community water system,"1,835",,Inyo,6,3,3
CA1410008,INYO COUNTY PWD - INDEPENDENCE,Region 9,California,Community water system,669,,Inyo,6,3,4
CA3600107,FOREST PARK MWC,Region 9,California,Community water system,415,,San Bernardino,6,3,33
CA1500461,FOUNTAIN TRAILER PARK WATER,Region 9,California,Community water system,68,,Kern,2,91,9
CA0707556,SANDMOUND MUTUAL,Region 9,California,Community water system,160,,Contra Costa,5,6,27
CA5100112,TIERRA BUENA MHP #1,Region 9,California,Community water system,50,,Sutter,3,20,12
CA4300856,SPRING VALLEY HEIGHTS ASSOCIATION INC,Region 9,California,Community water system,63,,Santa Clara,4,2,5
CA5610063,CAMROSA WATER DISTRICT,Region 9,California,Community water system,"30,000",,Ventura,23,2,19
CA1510016,RAND COMMUNITIES WATER DISTRICT,Region 9,California,Community water system,303,,Kern,5,75,8
CA3110043,TAHOE CITY PUD - MADDEN CREEK,Region 9,California,Community water system,300,,Placer,2,5,10
CA3110013,TAHOE CITY PUD - TAHOE CEDARS,Region 9,California,Community water system,793,,Placer,5,9,12
CA4400557,ST FRANCIS TRACT WATER SYSTEM,Region 9,California,Community water system,118,,Santa Cruz,3,10,61
CA4300571,SULLIVAN MUTUAL WATER,Region 9,California,Community water system,53,,Santa Clara,4,10,8
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,Region 9,California,Community water system,299,,Amador,5,14,34
CA4200885,CHALK HILL ESTATES HOA,Region 9,California,Community water system,38,LOMPOC,Santa Barbara,4,0,1
CA1900975,CALI LAKE RV RESORT,Region 9,California,Community water system,99,,Los Angeles,14,3,9
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,Region 9,California,Community water system,393,,Kern,3,5,6
CA1010039,CARUTHERS COMM SERV DIST,Region 9,California,Community water system,"2,503",,Fresno,7,67,10
CA4900637,MAGIC MOUNTAIN MUTUAL WATER COMPANY,Region 9,California,Community water system,100,,Sonoma,4,32,4
CA5200504,CITY OF TEHAMA,Region 9,California,Community water system,445,TEHAMA,Tehama,5,17,8
CA1200547,MILL CREEK M.W.C.,Region 9,California,Community water system,65,,Humboldt,5,13,8
CA1600293,CHAMPIONS- SAMUEL'S HOUSE,Region 9,California,Community water system,50,,Kings,8,3,10
CA2010002,CITY OF MADERA,Region 9,California,Community water system,"66,225",MADERA,Madera,52,9,18
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,Region 9,California,Community water system,495,,Los Angeles,13,6,10
CA1900074,THE PAINTED TURTLE CAMP,Region 9,California,Community water system,57,,Los Angeles,14,4,12
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,Region 9,California,Community water system,"3,689",,San Bernardino,17,7,12
CA3610060,BDVWA - GOAT MOUNTAIN ID,Region 9,California,Community water system,"1,300",,San Bernardino,7,3,8
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,Region 9,California,Community water system,375,,Fresno,2,22,6
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,Region 9,California,Community water system,83,,Lake,4,25,8
CA1400020,ABERDEEN WATER SYSTEM,Region 9,California,Community water system,23,,Inyo,2,10,7
CA3700071,HEAVENLY OAKS,Region 9,California,Community water system,300,,San Diego,4,15,14
CA3700073,H & J WATER COMPANY,Region 9,California,Community water system,50,,San Diego,5,31,12
CA3700277,SUNRISE ESTATES MUTUAL WATER COMPANY,Region 9,California,Community water system,150,,San Diego,7,7,12
CA3600180,NAVAJO MWC,Region 9,California,Community water system,276,,San Bernardino,3,1,46
CA3600187,OLIVE DELL RANCH,Region 9,California,Community water system,350,,San Bernardino,5,4,40
CA3600399,PARADISE MOBILE ESTATES,Region 9,California,Community water system,190,,San Bernardino,3,2,43
CA3310032,"SAN JACINTO, CITY OF",Region 9,California,Community water system,"17,961",SAN JACINTO,Riverside,19,5,11
CA4500254,ANDERSON PARK VILLAGE,Region 9,California,Community water system,112,,Shasta,4,8,9
CA4500255,SACRAMENTO RIVER RV PARK,Region 9,California,Community water system,382,,Shasta,4,0,9
CA1710014,MT. KONOCTI MUTUAL WATER COMPANY,Region 9,California,Community water system,"4,360",,Lake,3,8,17
CA0110006,CITY OF HAYWARD,Region 9,California,Community water system,"151,600",HAYWARD,Alameda,13,0,19
CA3610120,PHELAN PINON HILLS CSD,Region 9,California,Community water system,"23,291",,San Bernardino,34,0,10
CA4110002,CITY OF BRISBANE,Region 9,California,Community water system,"3,197",BRISBANE,San Mateo,2,10,18
CA4110005,GUADALUPE VALLEY MID,Region 9,California,Community water system,"1,401",,San Mateo,2,5,13
CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,Region 9,California,Community water system,500,,San Diego,7,1,4
CA3610028,MARYGOLD MWC,Region 9,California,Community water system,"3,055",,San Bernardino,13,3,5
CA1910054,LA CANADA IRRIGATION DIST.,Region 9,California,Community water system,"9,300",,Los Angeles,10,1,11
CA5400824,SULTANA CSD,Region 9,California,Community water system,866,,Tulare,7,27,8
CA5403212,MONSON WATER SYSTEM,Region 9,California,Community water system,140,,Tulare,3,1,2
CA1400004,CHARLES BROWN WATER COMPANY,Region 9,California,Community water system,242,,Inyo,5,41,14
CA1400005,OWENS VALLEY WATER COMPANY,Region 9,California,Community water system,300,,Inyo,5,8,46
CA1500289,ATHAL MUTUAL WATER SYSTEM,Region 9,California,Community water system,150,,Kern,10,18,11
CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",Region 9,California,Community water system,"2,649",,Fresno,20,3,11
CA5602110,NAVALAIR MOBILE HOME PARK,Region 9,California,Community water system,160,,Ventura,5,11,8
CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Region 9,California,Community water system,"6,000",,Plumas,6,2,23
CA1710009,UPPER LAKE COUNTY WATER DISTRICT,Region 9,California,Community water system,989,,Lake,9,5,7
CA1510024,GREENFIELD COUNTY WD,Region 9,California,Community water system,"10,986",,Kern,19,48,11
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",Region 9,California,Community water system,75,,El Dorado,3,7,4
CA3710700,CAMP PENDLETON (NORTH),Region 9,California,Community water system,"26,355",,San Diego,41,8,18
CA3710702,CAMP PENDLETON (SOUTH),Region 9,California,Community water system,"56,985",,San Diego,86,17,38
CA3610039,SAN BERNARDINO CITY,Region 9,California,Community water system,"204,870",SAN BERNARDIN0,San Bernardino,125,0,7
CA4510007,COTTONWOOD COUNTY WATER DIST.,Region 9,California,Community water system,"3,316",,Shasta,6,4,16
CA5510024,SONORA WATER COMPANY INC,Region 9,California,Community water system,"1,055",,Tuolumne,3,3,5
CA1500564,HOMETOWN WATER ASSOCIATION,Region 9,California,Community water system,25,,Kern,2,11,5
CA2910011,PLAVADA COMMUNITY ASSOCIATION,Region 9,California,Community water system,359,,Nevada,17,27,7
CA2700799,VISTA DEL TORO WS,Region 9,California,Community water system,92,,Monterey,4,66,27
CA2701063,RIVER RD WS #25,Region 9,California,Community water system,65,,Monterey,3,68,13
CA2700634,CHETMOORE ACRES WA,Region 9,California,Community water system,70,,Monterey,2,15,10
CA2700629,MANZANITA HILLS WA,Region 9,California,Community water system,75,,Monterey,4,13,8
CA2700842,BAUMANN RD WS #01,Region 9,California,Community water system,40,,Monterey,3,17,12
CA2701701,BRADLEY-LOCKWOOD RD WS,Region 9,California,Community water system,39,,Monterey,4,20,11
CA2702073,SAN MIGUEL WS #22,Region 9,California,Community water system,93,,Monterey,5,5,12
CA5000005,CROWS LANDING COMM SVC DISTRICT,Region 9,California,Community water system,500,,Stanislaus,8,7,13
CA4200505,CACHUMA VILLAGE,Region 9,California,Community water system,60,,Santa Barbara,5,8,10
CA0500068,DUNROVIN MOBILE HOME VILLAGE,Region 9,California,Community water system,99,,Calaveras,6,23,9
CA5610050,CALLEGUAS MUNICIPAL WATER DIST,Region 9,California,Community water system,0,,Ventura,33,1,23
CA3610023,GREEN VALLEY MWC,Region 9,California,Community water system,"1,350",,San Bernardino,51,6,5
CA4700549,LAKE SISKIYOU M.W.C.,Region 9,California,Community water system,240,,Siskiyou,7,17,9
CA2701888,CACHAGUA MUTUAL WS (#4),Region 9,California,Community water system,55,,Monterey,8,24,10
CA4000648,KEN MAR GARDENS,Region 9,California,Community water system,84,,San Luis Obispo,4,22,11
CA1910041,THREE VALLEYS MWD,Region 9,California,Community water system,0,,Los Angeles,13,3,40
CA1910167,"VERNON-CITY, WATER DEPT.",Region 9,California,Community water system,"28,000",VERNON,Los Angeles,30,3,22
CA2700686,GARLEN COURT WS,Region 9,California,Community water system,65,,Monterey,4,13,10
CA5400544,ALLENSWORTH CSD,Region 9,California,Community water system,521,,Tulare,6,40,12
CA4900793,VINEHILL VISTAS MUTUAL WATER COMPANY,Region 9,California,Community water system,42,,Sonoma,4,9,4
CA3110047,TALMONT RESORT IMPROVEMENT DISTRICT,Region 9,California,Community water system,300,,Placer,3,6,8
CA4300525,MELODY WOODS WATER COMPANY,Region 9,California,Community water system,168,,Santa Clara,8,9,11
CA1510007,FRAZIER PARK PUD,Region 9,California,Community water system,"2,691",,Kern,15,13,13
CA2701257,CAL AM WATER COMPANY - GARRAPATA,Region 9,California,Community water system,30,,Monterey,6,3,7
CA2702004,CAL AM WATER COMPANY - RALPH LANE,Region 9,California,Community water system,96,,Monterey,4,5,12
CA1600002,SUNSET VISTA ESTATES MHP,Region 9,California,Community water system,400,,Kings,6,8,13
